
Player Name,ACS (Map 1),ACS (Map 2),ACS (Map 3),K (Map 1),K (Map 2),K (Map 3),D (Map 1),D (Map 2),D (Map 3),A (Map 1),A (Map 2),A (Map 3),K/D (Map 1),K/D (Map 2),K/D (Map 3),KPR (Map 1),KPR (Map 2),KPR (Map 3),HS% (Map 1),HS% (Map 2),HS% (Map 3),ADR (Map 1),ADR (Map 2),ADR (Map 3),FK (Map 1),FK (Map 2),FK (Map 3),FD (Map 1),FD (Map 2),FD (Map 3),+/- (Map 1),+/- (Map 2),+/- (Map 3),FK/FD (Map 1),FK/FD (Map 2),FK/FD (Map 3),Team
zekken,,1.46   1.48   1.42,339   384   280,22   15   7,/     14   9   5     /,7   2   5,+8   +6   +2,76%   75%   78%,222   241   196,30%   35%   23%,7   4   3,4   2   2,+3   +2   +1,SEN
Sacy,,1.42   1.36   1.49,245   261   224,19   12   7,/     10   5   5     /,9   2   7,+9   +7   +2,86%   92%   78%,161   176   141,39%   46%   30%,0   0   0,2   1   1,-2   -1   -1,SEN
Zellsis,,1.26   1.27   1.25,204   223   179,16   9   7,/     10   6   4     /,6   3   3,+6   +3   +3,86%   75%   100%,131   150   105,21%   28%   13%,1   1   0,0   0   0,+1   +1   0,SEN
TenZ,,1.07   1.07   1.08,188   158   229,13   7   6,/     13   6   7     /,14   7   7,0   +1   -1,76%   75%   78%,127   109   152,12%   17%   9%,1   0   1,1   1   0,0   -1   +1,SEN
johnqt,,0.97   0.89   1.07,134   114   163,10   5   5,/     11   6   5     /,5   4   1,-1   -1   0,67%   67%   67%,96   78   120,46%   36%   53%,2   1   1,2   2   0,0   -1   +1,SEN
s0m,,0.93   1.07   0.82,210   202   218,14   6   8,/     17   7   10     /,6   6   0,-3   -1   -2,71%   78%   67%,142   132   150,28%   15%   45%,4   0   4,4   1   3,0   -1   +1,NRG
Ethan,,0.92   0.71   1.08,191   213   175,14   7   7,/     15   7   8     /,10   5   5,-1   0   -1,76%   78%   75%,121   133   112,29%   27%   30%,3   3   0,0   0   0,+3   +3   0,NRG
Victor,,0.72   1.01   0.51,164   175   157,11   5   6,/     17   5   12     /,5   4   1,-6   0   -6,57%   67%   50%,116   132   104,21%   11%   37%,2   0   2,6   3   3,-4   -3   -1,NRG
FiNESSE,,0.72   0.76   0.69,122   134   114,9   5   4,/     16   6   10     /,4   1   3,-7   -1   -6,62%   67%   58%,79   78   79,15%   40%   8%,1   1   0,0   0   0,+1   +1   0,NRG
crashies,,0.66   0.45   0.83,134   136   133,10   4   6,/     16   7   9     /,4   3   1,-6   -3   -3,52%   56%   50%,92   86   97,40%   55%   32%,0   0   0,2   1   1,-2   -1   -1,NRG
TenZ,,1.34   1.59   1.10,229   249   211,23   13   10,/     16   6   10     /,10   5   5,+7   +7   0,77%   85%   69%,140   166   114,29%   37%   20%,4   2   2,2   0   2,+2   +2   0,SEN
zekken,,1.30   1.54   1.06,294   397   192,24   17   7,/     19   10   9     /,14   7   7,+5   +7   -2,77%   100%   54%,206   264   147,28%   26%   32%,5   5   0,4   1   3,+1   +4   -3,SEN
Zellsis,,1.18   1.32   1.04,220   252   190,21   13   8,/     14   6   8     /,16   8   8,+7   +7   0,81%   85%   77%,138   164   113,22%   16%   36%,1   1   0,1   0   1,0   +1   -1,SEN
Sacy,,0.96   1.12   0.80,191   180   203,19   10   9,/     16   5   11     /,8   4   4,+3   +5   -2,77%   85%   69%,132   127   138,33%   36%   30%,3   1   2,3   1   2,0   0   0,SEN
