Cleaned Player Stats:
zekken  													 												    													 													SEN, , 1.46   1.48   1.42, 339   384   280, 22   15   7, /     14   9   5     /, 7   2   5, +8   +6   +2, 76%   75%   78%, 222   241   196, 30%   35%   23%, 7   4   3, 4   2   2, +3   +2   +1
Sacy  													 												    													 													SEN, , 1.42   1.36   1.49, 245   261   224, 19   12   7, /     10   5   5     /, 9   2   7, +9   +7   +2, 86%   92%   78%, 161   176   141, 39%   46%   30%, 0   0   0, 2   1   1, -2   -1   -1
Zellsis  													 												    													 													SEN, , 1.26   1.27   1.25, 204   223   179, 16   9   7, /     10   6   4     /, 6   3   3, +6   +3   +3, 86%   75%   100%, 131   150   105, 21%   28%   13%, 1   1   0, 0   0   0, +1   +1   0
TenZ  													 												    													 													SEN, , 1.07   1.07   1.08, 188   158   229, 13   7   6, /     13   6   7     /, 14   7   7, 0   +1   -1, 76%   75%   78%, 127   109   152, 12%   17%   9%, 1   0   1, 1   1   0, 0   -1   +1
johnqt  													 												    													 													SEN, , 0.97   0.89   1.07, 134   114   163, 10   5   5, /     11   6   5     /, 5   4   1, -1   -1   0, 67%   67%   67%, 96   78   120, 46%   36%   53%, 2   1   1, 2   2   0, 0   -1   +1
s0m  													 												    													 													NRG, , 0.93   1.07   0.82, 210   202   218, 14   6   8, /     17   7   10     /, 6   6   0, -3   -1   -2, 71%   78%   67%, 142   132   150, 28%   15%   45%, 4   0   4, 4   1   3, 0   -1   +1
Ethan  													 												    													 													NRG, , 0.92   0.71   1.08, 191   213   175, 14   7   7, /     15   7   8     /, 10   5   5, -1   0   -1, 76%   78%   75%, 121   133   112, 29%   27%   30%, 3   3   0, 0   0   0, +3   +3   0
Victor  													 												    													 													NRG, , 0.72   1.01   0.51, 164   175   157, 11   5   6, /     17   5   12     /, 5   4   1, -6   0   -6, 57%   67%   50%, 116   132   104, 21%   11%   37%, 2   0   2, 6   3   3, -4   -3   -1
FiNESSE  													 												    													 													NRG, , 0.72   0.76   0.69, 122   134   114, 9   5   4, /     16   6   10     /, 4   1   3, -7   -1   -6, 62%   67%   58%, 79   78   79, 15%   40%   8%, 1   1   0, 0   0   0, +1   +1   0
crashies  													 												    													 													NRG, , 0.66   0.45   0.83, 134   136   133, 10   4   6, /     16   7   9     /, 4   3   1, -6   -3   -3, 52%   56%   50%, 92   86   97, 40%   55%   32%, 0   0   0, 2   1   1, -2   -1   -1
zekken  													 												    													 													SEN, , 1.38   1.51   1.24, 317   391   228, 46   32   14, /     33   19   14     /, 21   9   12, +13   +13   0, 77%   88%   64%, 213   253   167, 29%   30%   28%, 12   9   3, 8   3   5, +4   +6   -2
Zellsis  													 												    													 													SEN, , 1.22   1.29   1.14, 212   238   185, 37   22   15, /     24   12   12     /, 22   11   11, +13   +10   +3, 83%   80%   86%, 135   158   109, 22%   20%   24%, 2   2   0, 1   0   1, +1   +2   -1
TenZ  													 												    													 													SEN, , 1.21   1.33   1.09, 209   205   219, 36   20   16, /     29   12   17     /, 24   12   12, +7   +8   -1, 77%   80%   73%, 134   139   129, 20%   27%   13%, 5   2   3, 3   1   2, +2   +1   +1
Sacy  													 												    													 													SEN, , 1.19   1.24   1.15, 218   219   212, 38   22   16, /     26   10   16     /, 17   6   11, +12   +12   0, 81%   88%   73%, 145   150   139, 36%   41%   30%, 3   1   2, 5   2   3, -2   -1   -1
johnqt  													 												    													 													SEN, , 0.93   0.77   1.10, 150   106   205, 25   9   16, /     28   14   14     /, 9   6   3, -3   -5   +2, 70%   64%   77%, 102   75   133, 33%   30%   35%, 3   1   2, 4   4   0, -1   -3   +2
s0m  													 												    													 													NRG, , 0.98   1.23   0.75, 195   214   176, 30   16   14, /     35   14   21     /, 21   17   4, -5   +2   -7, 74%   86%   64%, 131   140   124, 23%   14%   37%, 4   0   4, 6   1   5, -2   -1   -1
Ethan  													 												    													 													NRG, , 0.98   0.79   1.14, 195   198   193, 32   15   17, /     34   16   18     /, 23   12   11, -2   -1   -1, 74%   73%   76%, 118   113   123, 24%   20%   30%, 5   5   0, 3   2   1, +2   +3   -1
Victor  													 												    													 													NRG, , 0.82   1.13   0.53, 219   279   178, 34   20   14, /     41   16   25     /, 10   7   3, -7   +4   -11, 62%   68%   56%, 150   187   118, 24%   19%   34%, 9   4   5, 13   6   7, -4   -2   -2
crashies  													 												    													 													NRG, , 0.76   0.73   0.77, 138   153   125, 23   12   11, /     35   15   20     /, 14   10   4, -12   -3   -9, 57%   68%   48%, 92   95   89, 26%   33%   19%, 1   1   0, 3   1   2, -2   0   -2
FiNESSE  													 												    													 													NRG, , 0.70   0.67   0.74, 133   124   143, 21   11   10, /     38   16   22     /, 8   2   6, -17   -5   -12, 53%   55%   52%, 90   76   103, 16%   23%   13%, 3   2   1, 1   0   1, +2   +2   0
TenZ  													 												    													 													SEN, , 1.34   1.59   1.10, 229   249   211, 23   13   10, /     16   6   10     /, 10   5   5, +7   +7   0, 77%   85%   69%, 140   166   114, 29%   37%   20%, 4   2   2, 2   0   2, +2   +2   0
zekken  													 												    													 													SEN, , 1.30   1.54   1.06, 294   397   192, 24   17   7, /     19   10   9     /, 14   7   7, +5   +7   -2, 77%   100%   54%, 206   264   147, 28%   26%   32%, 5   5   0, 4   1   3, +1   +4   -3
Zellsis  													 												    													 													SEN, , 1.18   1.32   1.04, 220   252   190, 21   13   8, /     14   6   8     /, 16   8   8, +7   +7   0, 81%   85%   77%, 138   164   113, 22%   16%   36%, 1   1   0, 1   0   1, 0   +1   -1
Sacy  													 												    													 													SEN, , 0.96   1.12   0.80, 191   180   203, 19   10   9, /     16   5   11     /, 8   4   4, +3   +5   -2, 77%   85%   69%, 132   127   138, 33%   36%   30%, 3   1   2, 3   1   2, 0   0   0
johnqt  													 												    													 													SEN, , 0.89   0.65   1.13, 166   99   235, 15   4   11, /     17   8   9     /, 4   2   2, -2   -4   +2, 73%   62%   85%, 108   73   142, 26%   25%   27%, 1   0   1, 2   2   0, -1   -2   +1
Ethan  													 												    													 													NRG, , 1.04   0.88   1.21, 198   188   210, 18   8   10, /     19   9   10     /, 13   7   6, -1   -1   0, 73%   69%   77%, 117   99   134, 21%   14%   29%, 2   2   0, 3   2   1, -1   0   -1
s0m  													 												    													 													NRG, , 1.04   1.39   0.68, 180   223   139, 16   10   6, /     18   7   11     /, 15   11   4, -2   +3   -5, 77%   92%   62%, 123   145   100, 19%   14%   29%, 0   0   0, 2   0   2, -2   0   -2
Victor  													 												    													 													NRG, , 0.91   1.26   0.56, 273   350   198, 23   15   8, /     24   11   13     /, 5   3   2, -1   +4   -5, 65%   69%   62%, 177   225   130, 26%   23%   32%, 7   4   3, 7   3   4, 0   +1   -1
crashies  													 												    													 													NRG, , 0.86   1.00   0.71, 141   165   118, 13   8   5, /     19   8   11     /, 10   7   3, -6   0   -6, 62%   77%   46%, 92   101   82, 15%   23%   6%, 1   1   0, 1   0   1, 0   +1   -1
FiNESSE  													 												    													 													NRG, , 0.68   0.58   0.78, 144   118   171, 12   6   6, /     22   10   12     /, 4   1   3, -10   -4   -6, 46%   46%   46%, 100   74   126, 17%   14%   19%, 2   1   1, 1   0   1, +1   +1   0
